date,city,temp,humidity,pressure,wind,condition
2021-01-01,Pune,28.1,66.0,1012.6,14.6,Windy
2021-01-01,Mumbai,29.6,82.5,1016.3,12.3,Rainy
2021-01-01,Nashik,24.1,63.4,1008.1,8.6,Clear
2021-01-01,Nagpur,25.9,58.4,1013.3,5.4,Cloudy
2021-01-01,Delhi,24.3,56.6,1015.9,9.3,Cloudy
2021-01-01,Bangalore,29.2,70.6,1010.5,8.5,Humid
2021-01-01,Hyderabad,27.9,63.4,1011.2,8.1,Clear
2021-01-01,Chennai,31.1,75.4,1013.3,6.3,Humid
2021-01-01,Kolkata,30.5,68.9,1004.7,10.6,Humid
2021-01-01,Ahmedabad,33.6,51.5,1009.5,9.1,Clear
2021-01-02,Pune,28.7,64.1,1004.6,7.4,Clear
2021-01-02,Mumbai,30.8,81.8,1007.3,11.8,Rainy
2021-01-02,Nashik,27.2,65.4,1006.6,9.1,Clear
2021-01-02,Nagpur,28.2,59.3,1009.3,8.8,Clear
2021-01-02,Delhi,27.8,70.5,1009.7,13.0,Humid
2021-01-02,Bangalore,24.9,65.5,1011.4,14.6,Windy
2021-01-02,Hyderabad,29.1,66.6,999.5,12.5,Cloudy
2021-01-02,Chennai,28.3,86.0,1013.6,10.1,Rainy
2021-01-02,Kolkata,29.1,71.3,1006.8,12.2,Humid
2021-01-02,Ahmedabad,31.7,48.6,1012.0,13.5,Clear
2021-01-03,Pune,26.2,69.4,1010.4,12.9,Humid
2021-01-03,Mumbai,28.9,82.2,1008.4,5.6,Rainy
2021-01-03,Nashik,25.9,62.1,1010.0,9.3,Clear
2021-01-03,Nagpur,30.5,52.4,1011.8,9.5,Clear
2021-01-03,Delhi,30.0,64.7,1011.0,9.8,Clear
2021-01-03,Bangalore,24.2,60.5,1005.7,7.0,Cloudy
2021-01-03,Hyderabad,29.4,71.2,1009.2,10.9,Humid
2021-01-03,Chennai,31.2,75.0,1014.6,12.3,Humid
2021-01-03,Kolkata,31.8,74.3,1015.6,5.8,Humid
2021-01-03,Ahmedabad,33.4,61.8,1006.0,8.3,Cloudy
2021-01-04,Pune,30.8,71.3,1010.0,8.9,Humid
2021-01-04,Mumbai,31.6,77.8,1012.1,7.3,Humid
2021-01-04,Nashik,26.6,60.1,1008.4,7.3,Cloudy
2021-01-04,Nagpur,33.0,47.8,1010.9,13.9,Clear
2021-01-04,Delhi,25.7,62.9,1004.2,13.6,Clear
2021-01-04,Bangalore,25.4,70.4,1011.0,11.0,Humid
2021-01-04,Hyderabad,28.0,60.1,1011.2,7.9,Cloudy
2021-01-04,Chennai,31.7,74.8,1014.2,14.0,Humid
2021-01-04,Kolkata,31.8,74.1,1007.0,6.6,Humid
2021-01-04,Ahmedabad,33.9,57.3,1011.7,12.8,Clear
2021-01-05,Pune,26.9,63.2,1006.4,7.6,Clear
2021-01-05,Mumbai,32.2,82.8,1014.8,11.6,Rainy
2021-01-05,Nashik,30.9,61.5,1004.4,9.9,Clear
2021-01-05,Nagpur,29.3,56.4,1009.1,12.1,Cloudy
2021-01-05,Delhi,26.2,67.7,1008.2,12.3,Clear
2021-01-05,Bangalore,23.5,73.3,1010.9,6.3,Humid
2021-01-05,Hyderabad,29.8,60.9,1006.5,10.5,Clear
2021-01-05,Chennai,33.5,81.3,1013.5,13.2,Rainy
2021-01-05,Kolkata,28.5,85.9,1013.6,8.2,Rainy
2021-01-05,Ahmedabad,33.0,52.3,1010.1,12.6,Clear
2021-01-06,Pune,28.7,72.7,1013.8,12.0,Humid
2021-01-06,Mumbai,29.9,87.9,1006.9,9.3,Rainy
2021-01-06,Nashik,24.5,61.5,1019.3,4.4,Clear
2021-01-06,Nagpur,30.7,54.5,1006.4,9.0,Clear
2021-01-06,Delhi,25.1,67.5,1007.1,10.6,Cloudy
2021-01-06,Bangalore,29.3,78.3,1015.5,12.5,Rainy
2021-01-06,Hyderabad,29.5,61.3,1014.2,8.1,Clear
2021-01-06,Chennai,29.9,80.5,1012.0,12.6,Rainy
2021-01-06,Kolkata,28.1,77.4,1008.1,8.0,Humid
2021-01-06,Ahmedabad,36.0,53.1,1005.0,12.8,Clear
2021-01-07,Pune,28.4,75.4,1004.7,15.5,Humid
2021-01-07,Mumbai,29.1,77.7,1009.1,15.6,Humid
2021-01-07,Nashik,25.6,56.5,1004.8,9.7,Clear
2021-01-07,Nagpur,34.9,47.0,1008.2,10.4,Clear
2021-01-07,Delhi,26.7,75.9,1011.6,12.7,Humid
2021-01-07,Bangalore,24.2,69.4,1012.6,10.4,Humid
2021-01-07,Hyderabad,25.8,65.5,1007.5,16.3,Windy
2021-01-07,Chennai,33.0,81.5,1011.8,9.7,Rainy
2021-01-07,Kolkata,29.6,80.2,1013.5,8.6,Rainy
2021-01-07,Ahmedabad,31.4,49.4,1013.8,14.4,Windy
2021-01-08,Pune,28.4,70.1,1007.5,12.6,Humid
2021-01-08,Mumbai,31.8,80.7,1002.8,6.3,Rainy
2021-01-08,Nashik,24.3,67.0,1016.2,8.7,Clear
